context,response,context_length,response_length
Uhh... new nurse in Peds. Wendy something. Swelling just started to go down.,You seen her here before?,13,5
"There was a point to it. Wendy, this is House.",Something about not getting too uppity with normal folks who walk good.,10,12
"I'm not with her, not Even trying.","You're lying to me, that's interesting.",7,6
Anyone interesting in what happened with the swelling?,"She's in Peds, it's the next wing over.",8,8
"Clearly he did and Wilson denied it, and House doesn't beliEve him. It's gotta hurt, that's why it pays to have more than one friend, House.",If he's not hitting that then why's she here?,26,9
"Because I'm hitting that and it's totally hot. Swelling took 4 days to resolve, Patient has unexplained intensive abdominal pains.",So explain them. Wake me when they've done an exploratory laparotomy. Anybody know her? Know her story?,20,17
"Up an' at 'em. They did a laparotomy. Liver, bowel, gall bladder, appendix all clean.",Belly pain plus throat swelling.,15,5
"Sorry, take it back, that's a stretch.",Got a better idea? Then stretch away. Start her on floroquinolone for the salmonella.,7,14
I was waiting 2 hours out there.,Fascinating. Have you considered a career as a memoirist? Let's see it.,7,12
"Just take a swab and get it tested, ok?","Sorry, already met this month's quota of useless tests for stubborn idiots.",9,12
"And you're smart, and you're funny but you are bitter. And you're lonely, so you treat Everyone around like they're idiots and you get away with it because of your cane.","Please stop, it's hard to write through the haze of bitter tears.",31,12
"But you're not actually getting away with it. Last nurse you made fun of, she pRobably slipped some crap into your coffee.","Nyeah, I asked for decrappinated coffee.",22,6
"If you have an infection, you'd have a fEver. You're chewing nicotine gum which messes with the weather in your mouth so I need to vacation elsewhere.","And wait 'til I put the thermometer in. Uh uh, you break it, you bought it.",27,16
"And wait 'til I put the thermometer in. Uh uh, you break it, you bought it.",Leaving early today. Did you Ever get that thing where you're sure you've forgotten something but you can't figure out what? Guess it can't be that important.,16,27
We can't treat the salmonella unless--,Salmonella? That was a total stretch.,6,6
"Man, why does that sound so familiar? You think it's 'coz I said it an hour ago?","Then it was a dumb thing to say, now it's smart. She's got the rash so we know she's unusually susceptible to allergic reactions so that's what brought her in. PRobably the peanut butter in her sandwich.",17,37
Stick test was negative for peanuts.,That's because you foolishly tested her while she was lying down.,6,11
"Exercise-based anaphylaxis? Think that requires exercise. When her throat closed they'd just got done eating, not Even competitive eating.",And getting Robbed. Always gets my heart rate up. Give her the same food she ate at the diner and stick her on the treadmill.,19,25
"Better yet put a gun to her head, threaten to rape her.",You don't think I'm going to get a response?,12,9
I'm not betting on a Patient's--,A hundred bucks? If you say so.,6,7
"He's as sick as she is, now.",Told you it would work.,7,5
It worked on the wrong Patient.,We can spend all day arguing right and wrong. Give me the hundred bucks.,6,14
Pain persisted after he got Lorazepam and morphine. Whose locker is that?,"Mine. Chest, stomach, throat. What does it all mean?",12,9
We're in the nurses' locker room!,"I know that. Oh, that is so annoying! Wilson's girlfriend's left her stuff in my locker again.",6,17
"Great, I hadn't committed any felonies yet today.","Relax, you know they're going to blame!",8,7
"House, you wanna mess with Wilson, no pRoblem. But you've got no reason to screw around with """,Can we get back to the medicine?,18,7
"Okay. Why assume one disease? His chest, her throat.","So it's just a coincidence that they both got crippling stomach pains. Wow, they really are a great couple. So much in common. One blue shoe "" what do you think that means?",9,33
"If they're married and caught the same disease, then it means they """,Aha! Brochure to a jazz festival in the Poconos this weekend.,13,11
"Wilson likes jazz. Foreman, pay the Man.","Four, five, six novels, no music. What does that mean?",7,10
"Married couple. Same disease. They either got it from each other, or in the same place.","Infectious or environmental. All you have to do is check out parasites, viruses, bacteria, fungi, prions, radiation, toxins, chemicals, or it's internet porn related. I'll check the internet, you guys cover the rest of the stuff.",16,36
"People lie, I get it, but they don't go up against two armed gunmen to save someone unless """,There's a reason that we don't let kids vote or drink or work in the salt mines. They're idiots! 20-year-olds fall in and out of love more often than they change their oil filters. Which they should do more often.,19,40
"Gonorrhea explains all their symptoms. Fitz-Hugh Curtis syndrome for her belly pain, Costochondritis and bladder infection for his chest and abdominal pain.","Good. Now go rub their lying, cheating privates with a cotton swab.",22,12
"No scarring, no purulent discharge, and the NATs were negative. They don't have an STD.","What's that, you say? You have a pRoblem with interracial couples?",15,11
"Not sure I understand your ghetto slang, Dr. House. How Many black women have you dated, by the way?",I don't care about color. As long as they can help me breed a superior race.,19,16
"Yeah, my exes have usually been black, so what? It's not a racial thing, it's cultural. I have more in common with them, like I assume you only date emotionally stunted bigots.","Sorry, you're right. That kind of prejudice is totally fine.",32,10
The abdominal pain's getting worse. We've had to up their morphine twice.,"Take the wife off the steroids. If she spikes a fEver, we'll know it's an infection. If she doesn't, it's environmental.",12,21
"Take the wife off the steroids. If she spikes a fEver, we'll know it's an infection. If she doesn't, it's environmental.",He got off easy. I almost gave him a colonoscopy.,21,10
"That was one of the stupidest things you have Ever done, and there is heavy competition for "" What are you doing?","Hmm, only ate half your breakfast. Feeling a little sick this morning?",22,12
"I'm not pregnant, they burnt my omelet. You need to apologize to this guy.",I'm a Man of principle. I don't care how much time and money it costs you to defend me.,14,19
He wants to kill you.,No empty coffee cups. Off the caffeine. Good for baby.,5,10
"Cup's in the other wastebasket, baby's in your mind! You can berate Patients all you want. Shoving objects into their rectums is assault. Pay attention to me.","Sorry, that would make it harder to ignore you. Can't ignore that rapidly expanding first trimester ass, though.",27,18
"Environmental doesn't make sense, either. If it were toxin, we'd see it in their livers. None of their neighbors are sick, no coworkers ""","They both got it, meaning it's infection or environmental, and since it's not an infection!",24,15
What if they didn't both get it? Maybe we got our basic assumption wrong and it's two different diseases?,Maybe we didn't and it's sarcoidosis.,19,6
Sarcoidosis isn't infectious or environmental.,Tell that to the clusters of sarcoidosis cases.,5,8
I did see these two putting out that blaze in the Pine Barrens.,"If sarcoidosis has two environmental causes, it has environmental causes. We just don't know all of them yet. Husband's chest. He has slightly enlarged hylar lymph nodes. Sarcoidosis explains almost all of their symptoms, including her getting worse off the steroids.",13,41
If this is more dating advice!,"Love to gossip, but I've got work to do. Is this sarcoidosis?",6,12
"It's pretty nonspecific. Could be granulomas, could be plaques. What's this? Oh, oh, you stole Wendy's personnel file?!","In a way, aren't we all guilty of bribing the janitor of taking the file and giving it to me? Yes, I take my share of the blame, but society's also """,18,32
"First of all, I am not dating her.","She is so wrong for you. You know, she filed a form so the hospital would take extra withholding. Who does that?",8,22
"She's much too cautious for me. Point taken, I'll start dating her so I can break up with her and start dating a stripper. You're a miserable jerk who can't stand to be alone.",I didn't try to break up your marriages; you did that yourself.,34,12
My marriages were so crappy I was spending all my time with you. Your real fear is me having a good relationship.,"Yes, that keeps me up at night. That and the Loch Ness monster, global warming, evolution, and other fictional concepts. Although a big, roMantic weekend in the Poconos could change Everything.",22,31
You don't! no. I don't think it's sarcoidosis.,He says it's sarcoidosis. Start them both on methotrexate.,8,9
"The brain stem? Brain damage is not only possible, it's likely!","Good point. Let's biopsy something safer, like her shoes.",11,9
"The husband, he'd have to give consent. He can't right now.",Why? This guy write with his stomach?,11,7
"He has a conflict of interest. It's not his brain we're cutting open, but he's getting all the benefit. He'd do it just to save himself.","Or to save her. She's the love of his life, remember?",26,11
She needs a guardian ad litem. I can't let you do this.,How're you going to stop me? Call Cuddy?,12,8
"Cameron's right, there's a conflict.","No, there isn't! Not unless one of them wants to die a horrible, painful death.",5,15
I'm sure the guardian will figure that out.,In a couple days! Will the guardian convince the disease to hold off eating her brain until we can get the legalities worked out?,8,24
"I just don't want some plaintiff's Lawyer owning my hospital. Legalities help. Speaking of which, did you get your thermometer back yet?","Uh, we had a nice chat. Did you know he's a Rotarian? Listen, she'll die without the biopsy.",22,18
"I need to cover the hospital's ass. You're too biased. I send you in there, you'll steamroll over him. Something goes wrong, he'll sue us for not disclosing the risks.","Then have Wilson talk to the husband. Wilson kills people left and right, no one Ever sues him.",30,18
"Fine, but only if you apologize to the clinic guy.","Nah, pRobably better to just let that couple die.",10,9
"Hold on, that gives me an idea. You know what could save this couple, lots of misdirected sarcasm.",They're dead. Yelling at you might prEvent you from screwing up like this --,18,14
I didn't screw up. I did my job!,Your job was to get me the biopsy.,8,8
"No, it was to present the Patient with his options.","Two options: biopsy or no biopsy. He chose the third, no treatment. How do you Even do that?",10,18
Remember when you used to just weave elaborate conspiracy theories about my love life? Those were such good times.,How much morphine is the husband on?,19,7
"We can't increase it any more, his respirations are depressed.","Decrease it! Drugs cloud people's Judgement. Cold turkey, you sucker.",10,10
"No, which made us nervous.",They'll catch on if they notice that he's off the morphine drip. Shoot him up with one of these puppies instead.,5,21
"An opiate blocker? It'll feel like he's swallowing a bonfire. That's pretty unethical, Even for you.",How is that unethical? It'll lead to a diagnosis!,16,9
It's leading to the torture of the husband on the off chance he'll allow a procedure on another person!,"Which will lead to a diagnosis, didn't I just say that?",19,11
"Give it up. Foreman and Cameron are too ethical, and I'm too scared of getting sued.","Fine. Now I'm just going to find someplace safe to hide this, where I won't be tempted to use it.",16,20
"You're not doing it, either. What, you're gonna run for it?","If they die now, they'll nEver be able to grow old and tired of each other.",11,16
"Oh! Ow, my stomach, ow!","It's a pretty smart plan, Jerry, but I'm on to you. There's only one good reason to kill the biopsy. You poisoned your wife, and don't want the coppers to get wise.",5,32
She is the love of my life!,"Careful. Once you say that and you're on wife 2, you're gonna feel real guilty about saying that. Feel that? Get used to it, the pain's gonna get a lot worse.",7,31
"I don't care about the pain. I need to be in pain, so I can get worse. That means you can do the biopsy on me!","Dude, she's in a coma. Who're you trying to impress?",26,10
I was just going to call you.,I need a court order to biopsy this Woman's brain.,7,10
"I'll tell you why. You're a bully. And bullies, they don't back down until they run into someone stronger and meaner.",But you'll accept an apology.,21,5
I'm not looking for sincerity. I'm looking for humiliation. Something that will make you think twice before you treat the next Patient like crap.,"Here's what's gonna happen: you go brag to your friends about how you made the big, nasty doctor go poop in his pants, I get Cuddy off my back by telling her I humiliated myself, here's the catch "" we're both gonna be lying. I'm not apologizing. If anything, you deserved a bigger thermometer. What's wrong?",24,56
"Well, let's see. Lack of blood flow's causing his guts to die, which will cause him to die unless we cut out a few feet of small intestine and reattach the ends. I don't know, seems like a match.",Why does he have it? What does it tell us?,39,10
"Or, like I said before, it might not be environmental or infectious. He has vasculitis, she has porphyria. Belly pain plus hallucinations, classic symptoms. Can Even cause a coma.",Fine. Start her on hematin for porphyria.,29,7
The bowel's not dead. Just general swelling and edema. The high lactate was pRobably from stress. We just sliced him open from chest to pubic bone for nothing.,Nothing's something. Forget the isochemia. Add the edema and swelling.,28,10
PRobably from cutting him open.,"PRobably, not definitely. Okay, back to the beginning. What did we talk about? Anything, I want to hear it all again.",5,21
He wasn't cheating on her.,"Yeah, yeah, yeah. Love of his life. Don't you have to wait 'till he's dead to make that determination?",5,19
"She's his only girlfriend Ever. They grew up next door. They ran off together as teenagers. Sarcoidosis. We only ruled it out because we thought he had isochemic """,Why did they run off?,29,5
"What difference does it ""","Kids talk about running off, not Many do it. What was the reason?",5,13
"They were trying to escape his evil, pill-popping, racist dad. You would have liked him. We should do another biopsy.",How'd you know the dad was racist?,20,7
"He beat up his son for dating a black girl. Extrapolated from that """,You see racism Everywhere. Maybe he just didn't like this black girl.,14,12
"It's not sarcoid. We would have seen granulomas in ""","She has pretty eyes. Forget infectious. Forget environmental. Defective DNA is keeping them from making a critical protein, hence the fluid build-up. Hits the throat, stomach, chest, and brain.",10,29
"It's an incredibly rare disease. They would both have to have a parent ""","Is it a coincidence that your sister has great hair, or that these two have green eyes?",14,17
You're not saying! they're not brother and sister?,"Ew, God, no! That would be sick. Half-brother and sister. Different moms. Dad must have had an affair with her mom. That's why he flipped out when the kids started dating, he had it himself, pRobably why the pills.",8,39
"You won't know for sure """,Test them for HAE or paternity. It's going to take a day. She doesn't have a day. Start treating and see what happens.,6,23
"Tracy, Tracy, she's awake. Oh God, baby, it's going to be okay.","Awesome, can I tell them?",12,5
"We've obviously got to let them know what's wrong, but the cause, the brother-sister thing!","Good plan. You've just got to keep them away from doctors, the internet, and anyone who's not a total moron.",15,20
"Yesterday he was willing to die to save her. You've got to give him time to recover """,He might be a little vexed that you kept letting him hump his sister in the mean time.,18,18
"Unless their dad was also the product of an incestuous union, the chances of serious complications are minimal.","Noble of you to take that risk. Tell them, or I will.",18,12
I'm going out of town.,"Where are you going? Foreman, you're not missing a blue shoe, are you? Com you can't bet when you know the answer beforehand!",5,23
She just needs some time alone. You want me to hang out here a bit?,"If you've come to return the thermometer, don't bother. I've moved on.",15,12
"If you'd actually read my chart, you'd know that I'm a cop. You were going 40 in a 25 zone.","Oh, come on. This isn't because I was speeding, it's because I'm Latino.",20,13
"License, registration, proof of insurance.","Sorry, cool jacket. Only pockets for important stuff.",5,8
"You took a pill while examining a Patient, that's serious addictive behavior. I'm betting that you're holding right now.","I wasn't weaving, I'm not drunk, you've got no reason to """,19,12
"Pupils dilated, appear to be under the influence of a narcotic. Would you mind turning around, please, and putting your hands behind your head?",Does that polite crap Ever work on people?,24,8
Most people realize that there's only one answer. Got a prescription?,I'm a cripple who works in a hospital. You don't think I've got a valid prescription?,11,16
"Have my baby, what a lovely way to say how much you love me...",Excusez-moi garon! Hello?! It's 11 o' clock. Which means my friend is ready for his sponge bath and I shouldn't be here. Hey! Gomer Pyle! I know you can hear me!,14,31
I think you mean Barney Fife.,So Many great idiot icons to choose from.,6,8
You need time to think of some more?,Either arraign me or let me go.,8,7
"No pRoblem, which do you prefer?",What took you so long?,6,5
You know what they say about the Lawyer who has himself as a client?,"Same thing they say about the doctor who lends 15 grand to a friend he knows can't pay him back. Relax, you'll get it. Where am I going to take off to? Does Salma Hayek live in Mexico or Spain?",14,40
"But I have seen how Many pills he's been popping lately, I wouldn't be surprised if he's in a coma somewhere himself.","If I am, this is one lame hallucination.",22,8
CO2 and oxygen stats are normal.,"For you and me, what's normal for a hippopotamus? Get a detailed medical history.",6,14
And I doubt a guy who weighs 600 pounds bothers with annual physicals.,"Talk to the neighbors, search the House. Let's see what else Shamu's been up to besides eating. This conversation is over because I have officially run out of clEver things to call the guy.",13,34
"It's usually worse in the morning. Especially if I've slept on my arm. If I sleep on my back or you know, with my arms out, I'm usually ok.",So your arm only hurts after you lie on top of it all night.,29,14
To do what? Like clean out some cartilage or something?,You're not sleeping on some cartilage; you're sleeping on your arm.,10,11
You wanna remove my arm?,"Well it is your left, a guy's gotta sleep.",5,9
I see spending a night in jail hasn't humbled you a bit.,"While following my Every move is flattering, a single rose on my doorstep each morning would be more enticing.",12,19
Just bringing your boss up to speed which I guess you didn't feel was necessary.,You going to add that to my list of charges?,15,10
People who are innocent tend not to try to hide their arrest.,"Is that based on your years of experience arresting innocent people? The way you're going at that gum, it's obviously not having the desired effect. You're the addict; you're going to be back at the butts in a month. You're just taking out your frustration on me because my meds actually work. Why don't you quit while you're ahead before you end up as a security guard working the night shift at some strip mall?",12,75
Cuddy's looking for a sperm donor?,"It's a joke. Like Cuddy would Ever want a kid. Or a kid would Ever want Cuddy. Hello, that's why it's funny! Why are you guys here?",6,27
That you and George have the same taste in home furnishings and women.,Danish modern and Russian gymnasts?,13,5
We give him blood thinners and the coma's caused by a bleed instead of a clot we'd kill him.,"Either start treatment or start building a stronger MRI. WhatEver you do, do it fast. The longer he stays in the coma, the less likely it is he'll Ever wake up.",19,31
I made some calls for you. The guy's the best criminal attorney in Princeton.,Thanks but I don't need it. I assume you told Inspector Clouseau that I have a valid prescription for the vicodin?,14,21
"Yeah, and I assume you did as well; did it make a difference? The guy's pissed, and with the DEA now treating pain doctors like Columbian--","I'm not a pain doctor, I'm a pain Patient.",26,9
"It was pRobably just some sort of head trauma and we missed the swelling because, well, his head's already swollen.",Bump on the noggin doesn't explain the fEver.,20,8
We just replaced the last MRI you broke.,Referring to the fund-raising funbags by the royal 'We' now?,8,10
Let me explain cause and effect to you.,I specifically told them to skip the boring testing part and jump right to the dangerous treatment.,8,17
"We should do nothing. Just keep him a couple of days for observation, if he doesn't get any worse it was pRobably just a hematoma that dissipated on its own.",Or we do all of the above. You check his belly for patches. You check underneath for sores. And you just sit on your ass.,30,25
"And now that you have, when can I go?","It's pRobably her mom, I bet she's huge. She's from the Midwest. Since when did you eat beets?",9,18
"Since I was 5? And who are we talking about? You know, just in case you need me to Parkme in and tell you you're a lunatic at some point.","Cameron. She's lying, destroying hospital equipment, telling Cuddy off, gotta find out where she got the Fat Scratch fEver.",30,19
Yeah you definitely better get to the bottom of that. I heard Cuddy gave you the name of a Lawyer.,"Or it could just be pity, she feels guilty about being born beautiful so she overcompensates by being nice to ugly people. Would explain why she gets along so well with you.",20,32
"From what I hear the Patient reminds her of you, not me. Call the Lawyer.",Cameron sees a clump of dirt and she thinks of me.,15,11
"Skin exam and ACTH stimulation test were both normal. He has nystagmus, but it's congenital; no way it's related to the coma.","You say no way I say! yeah, no way.",22,9
"Blood and urine were negative for ChlAmydia, Herpes and Syphilis.",Looks like we got ourselves a mystery.,10,7
"Not for long, he wants to be discharged.","Oh sure. Places to go, people to eat.",8,8
He insisted chance of dying from hospital acquired infection is greater than him dying from whatEver caused his coma.,Did you tell him that statistics also say he's a big fat idiot?,19,13
Selectively rational? Stubborn? Uncooperative? Maybe you ought to check his leg.,"You see what he did there? The Patient's like me, the Patient's three me's. If I were him-- Maybe it's not such a mystery after all.",11,26
Putting chopped parsley on a hamburger does not a Salisbury steak make. You must be doctor House.,And you must be full of baloney. A lot of it.,17,11
"Right, fat joke, always fun. Only people you can still make fun of.",And Christians. Oh and black people. No one in their right mind comes out of a coma and immediately asks to go home with an unknown condition which means that either you're not in your right mind or it's not an unknown condition. So what is it? You tried to off yourself?,13,52
"You figure, I'm fat therefore I hate myself.",That's a huge leap of logic.,8,6
I don't wanna die; I just don't wanna be here.,"Then it's a condition you've already had diagnosed or it's something you know you've inherited. Let's see your stomach has the deep-seated feelings of abandonment written all over it which points towards sexual abuse. Well a fear of hospitals; that points to a more specific traumatic Event so I'm going to say-- your mom, in the hospital with a candlestick. And by candlestick of course, I mean inherited OTC deficiency.",10,70
"Will you stop? If I knew what was wrong, I would tell you. I'm not an imbecile, and I'm not miserable. I'm just overweight.",What? When? To be continued.,24,5
What? When? To be continued.,What are you doing here?,5,5
"When you err! when you got bailed out, before we could get a Judge to approve this I almost didn't bother. I thought for sure you'd come straight home and throw Everything out. Rookie mistake; nEver underestimate the stupidity of an addict. There's got to be over 600 vicodin in here which most DA's would say proves intent to traffic. Even if all you'd really intended was simply to be wasted 247 while practicing medicine.","In case you hadn't noticed, those are prescription bottles. Now I'm not an expert on linguistics per se but I think that means they were prescribed.",75,26
All these were legally prescribed to a Man who's in constant pain but nEver misses a day at work?,Ever occurred to you that's why I don't miss a day?,19,11
"Why, you think he's healthy?","Either I'm right and he knows what's wrong, he's just too stubborn to admit it or I was right and it's Pickwick's. Treatment just had a delayed effect.",5,28
You don't have delayed effects to oxygen. And Pickwick's doesn't explain the fEver.,Being engulfed in an electric blanket of blubber could explain the fEver.,13,12
"Yesterday you insisted on keeping him here because of the fEver, we have no idea what's wrong with the guy. For all we know he could be dead in 12 hours.","He does not want our help, which means he doesn't want your help.",31,13
He's obviously just rationalizing and so are you! You would nEver give up this easy if you weren't so busy dealing with your own personal pRoblems.,Send him home. What'd you tell that cop?,26,8
Last I checked pharmacies are still open when it rained.,And because I nEver know when you're going to be in one of your moods and cut me off.,10,19
Dunno. Haven't seen him since you told him to sit on his ass yesterday.,Interesting. NF-2 is also inherited which means I was right.,14,10
Kept saying it was Pickwick's.,"Between the first Pickwick's and the second Pickwick's, I said it was inherited.",5,13
So what do we do now?,"Discharge report says he didn't eat his breakfast. Humpty Dumpty didn't get to be the size of all the King's horses by skipping the most important meal of the day. What causes coma, fEver and a loss of appetite?",6,39
It can't be Chagas'; he's nEver been outside the country.,"But his stomach has, the food we eat no longer comes from America's heartland, it comes from South America's deforested jungle land where lettuce now grows and lettuce pickers now poop. Get a sample of his CSF before the little bugs that are now feasting on his brain move on to dessert.",10,52
How are we going to do that? He's too big to do an LP.,So go straight to the source.,14,6
And not surprisingly there was no sign of Chagas or any other parasites in his CSF.,"So we've ruled out his parents, prostitutes, the arugula - means either--",16,12
"I took the sample from the pre-frontal, I was nEver anywhere near his visual cortex.",Or you missed a tumor on the MRI.,15,8
It could also explain his lack of concern for his health. MS can cause excessive cheerfulness.,"Yeah, he's a delight. You don't get to MS with coma as the first symptom, blindness plus coma says diabetes. Just in time.",16,23
"No, blood sugar and urine dipstick and hemoglobin A1C are normal.","Were normal when you tested it. He's been in and out of a coma, whatEver's going on is waxing and waning, unlike his pant size which only waxes. Which also points to diabetes. Test him again, this time add a glucose tolerance test and a HEC.",11,46
We already have a CSF sample; we might as well check it for proteins and rule out MS first.,Agreed; except for the part about doing it first.,19,9
"Speeding. DUI. Reckless driving, resisting arrest, possession of a class 3 narcotic and now it looks like they've added another possession with intent to traffic charge as well. They found some pills at your House.",All of which I had a prescription for.,35,8
That's a lot of pills.,"I'm in a lot of pain. This is all because some cop came into the clinic, I was rude to him. This is his way of getting back at me.",5,30
You've made it pretty easy.,"His insane reaction to a simple rectal thermometer reading, pRobably says a lot more about his mother than it says about me.",5,22
I'm inclined to think your particular charm may not be immediately appreciated by a jury.,I'm not interested in a plea bargain.,15,7
It's your best bet to make this go away.,"There is no ""this"", there's a him; the only thing I'm guilty of is humiliating a bully. I wasn't speeding, I wasn't impaired, I didn't resist and I certainly wasn't distributing narcotics to anyone but myself because I need those narcotics.",9,41
"What did your Lawyer say? I looked up butt plug in a legal dictionary, what'd he say?",That a smile like mine can't lose. What did the test say?,17,12
"Don't know, says we think only think it's diabetes because of his weight, won't let us test him.","So, you would rather be a blind invalid than admit the fact that maybe you might have a little pRoblem with overeating? And by a little pRoblem of course, I mean you've eaten yourself half to death.",18,37
And you would rather let me die than consider the fact that whatEver is wrong with me has nothing to do with my weight.,I go where the symptoms tell me to go. Right now they're asking why this stuff is the first thing you've Ever refused to swallow.,24,25
Get the hell off of me!,No dessert 'til you've finished your dinner.,6,7
What the hell is going on?,Just trying to force a horse to--,6,7
How are we going to get him to do all that when we can't Even get him to drink a bottle of sugar water?,Tell him that lung cancer is in no way connected to obesity.,24,12
Err... you don't think he'll realize we're lying?,We're not; lung cancer's got nothing to do with--,8,9
I meant about him having lung cancer.,You didn't notice his fingers?,7,5
I noticed they were fat?,"Should have pissed him off. He would have grabbed you and you would have felt the bones, they're not just fat, they're clubbed.",5,23
What about you? What are you going to do about your pRoblem?,"Nothing. I just got a call from my Lawyer, he gave the DA copies of my prescriptions. As soon as they confirm that it's bona fide, they're going to drop the possession, DUI and resisting arrest. As soon as I pay my 85 dollars speeding ticket and impound fine, I get my bike back.",12,54
"No, it's good. You get to keep going like you always have.","Alright, I give up, who was it? Who in your family had the weight pRoblem?",12,15
You think I can only care about a Patient if I know someone else who's been through the same thing?,You care for Everybody. You only lie and stand up to Cuddy for a few.,20,15
"I like damaged people, remember? Explains Everything I do.","Almost Everything. Wasn't you, was it?",9,6
What're you doing down here? Thought you usually have lunch with Coma Guy.,"This is Vegetative-state Guy. Better company. Hey, hey, tell him about those Sherpa's you dropped acid with in St. Patrick's Cathedral.",13,21
You stole my prescription pad and you forged my name!,What'd you tell the cop?,10,5
I lied! To the cops!,"There is no case unless they can prove that either I got the drugs illegally or I sold them illegally. I didn't do the second, you lied about the first. Game over.",5,32
"Yeah, Tritter's just playing. He's gonna see how clEver you are and then just walk away.",Important thing is you keep prescribing the same amount of drugs to me. Or it'll look suspicious.,16,17
Wanna see something really cool?,"I saw you leaving last Tuesday; practically tripped over two guys on your way out. But you had no pRoblem opening doors. It's called Akinetopsia. You can't see things when they move. And since you haven't been hit by a bus, I assume it's intermittent. PRobably accompanied by seizures, which made me think that I can set one off by flashing a...",5,62
"I saw you leaving last Tuesday; practically tripped over two guys on your way out. But you had no pRoblem opening doors. It's called Akinetopsia. You can't see things when they move. And since you haven't been hit by a bus, I assume it's intermittent. PRobably accompanied by seizures, which made me think that I can set one off by flashing a...","God, I love this family!",62,5
How did you jump to genetics? From his EEG? All you got are some vaguely epileptiform waves.,"It's not his EEG. It's his father's. When it comes to cortical seizures, like father, like son.",17,17
What caused the vegetative state?,"His House burned down; went back in to get his wife. Firefighters found him unconscious three feet from the bedroom, asphyxiated.",5,21
Genetic tests take forEver. You can't just keep testing him for Every inherited condition you think it might be.,"Well, not me. I'll be leaving early. But you guys can.",19,11
To see if this is a reaction to our meds?,"Well, they obviously aren't helping. Given the fact that he's an alcoholic, there's a good chance his liver wasn't so hot when he came in. Anti-seizure drugs, they just pushed him over the edge.",10,34
"We take him off those meds, what do we put him on?",I was hoping you'd know.,12,5
You're not waking Kyle. You're waking his father.,I commend your observational skills.,8,5
You have no reason to think any Manner of drugs will wake a Man from a coma.,"Vegetative state. Much easier. This guy's no Terri SParkavo, his brain's all there, he moves around, muscles have barely atrophied, just waiting for a fairy-tale kiss. After I do that, stick a needle in him.",17,35
The amount of amphetamines alone will be dangerous. Besides whatEver the hell else you got in there.,There are reports out of South Africa about a pill that'd temporarily revive someone in a vegetative state. We've all seen Awakenings. It made me cry. I wanna cry.,17,29
We don't experiment on helpless Patients!,Be reasonable. There's no way this is gonna work.,6,9
"Even if you woke him, it would only be for a few hours! A day! Two at the most! You're risking his life!",I'm risking getting sued. That's the only objection here.,23,9
You'll be torturing him and his family.,Good news for Legal. Only family he's got is upstairs dying.,7,11
"I had a paramedic ask me something similar after getting knocked out during a sporting Event, my response was ""numbers"".",Coolest thing Ever. Any history of seizure in your family?,20,10
"No. How long have I been here? Got the feeling it's uh, been a long time.","Interesting. Your internal clock kept ticking. How deep does that awareness go? Pick up scraps of conversations, do you have a vague sense that the hospital administrator dresses like a trollop?",16,31
"Interesting. Your internal clock kept ticking. How deep does that awareness go? Pick up scraps of conversations, do you have a vague sense that the hospital administrator dresses like a trollop?",Or that the new Star Wars movies were a disappointment?,31,10
Ahh! Rumor in the cafeteria was Caustic Guy was waking up Coma Guy.,"Technically, Vegetative State Guy was woken by... yeah, Caustic Guy.",13,10
He doesn't wanna talk about his son?,Didn't seem to emotionally register that his son is sick.,7,10
Brain issue? He was asphyxiated. Spent ten years as asparagus. Who knows what damage is in there?,It's possible. 'Course always the simple explanation. Maybe he just doesn't like his son.,17,14
Only in your world would that be simple.,The delusion that fathering a Parkld installs a perManent geyser of unconditional love--,8,13
"Maybe your father's feelings were conditional, not Everyone's--","Yes. Well, of course. That would play into your roMantic vision of huMan...",8,13
"Terms you would understand. We have an evolutionary incentive to sacrifice for our offspring, our tribe, our friends. Keep them safe.",Except for all the people who don't. Everything is conditional. You just can't always anticipate the conditions.,21,17
"Then ""no"" it is. Cops have a thousand ways to make life difficult for you.",Quick! What's the kid's status? Gotta get back to our sleeper before he goes looking for the Orgasmatron.,15,18
House is a Woody Allen fan! That makes me smile.,"See, if that were rhetorical, it would mean I could just turn around and leave now, which I'm not doing. From which you should deduce...",10,25
"""Coma diet"". I could make a fortune.","""Vegetative State Diet"". Who gave you your clothes?",7,8
Dr. Cuddy. I guess I'll need all new ones anyway. Everything went in the fire.,"Don't worry about it. We use recyclable clothes now. Wear them once, then eat them. Your son's measles vaccination, d'you remember if he had it and what type it was?",15,30
"If I got a day to live, I'm not gonna spend it in the hospital room, being grilled.","C'mon, where you gonna go? House burned down, your wife's dead. Business is sold off. The only thing you have left is down the hall, heading for a liver biopsy.",18,30
"Used to be this little um, hole in the wall, run by a guy named Giancarlo. Made the best hoagies in the world. Real Italian rolls. Prosciutto, provolone, Mmm. How far is Atlantic City from here?",You have one day to live and you want a sandwich.,36,11
People on death row get a last meal.,State provides it. Who's providing for you? You got a car? Money?,8,12
I'm not doing you any favors.,You'll get it back tomorrow. Two days max. Road trip.,6,10
"Aside from the fact, he just woke up from a vegetative state; the guy doesn't have a license.","How 'bout this? Cops stop us, we lie. You know how to do that. Parkps!",18,15
